t me us them sum
3.94e-3 0 0 1 1
4.57e-3 0 0 2 2
7.37e-3 0 0 3 3
1.241e-2 0 0 4 4
1.242e-2 0 0 5 5
1.318e-2 0 0 6 6
1.343e-2 0 0 7 7
1.401e-2 0 0 8 8
1.456e-2 0 0 9 9
1.46e-2 0 0 10 10
1.561e-2 0 0 11 11
1.586e-2 0 0 12 12
1.597e-2 0 0 13 13
1.612e-2 0 0 14 14
1.716e-2 0 0 15 15
1.933e-2 0 0 16 16
1.942e-2 0 0 17 17
1.979e-2 0 0 18 18
2.059e-2 0 0 19 19
2.062e-2 0 0 20 20
2.072e-2 0 0 21 21
2.289e-2 0 0 22 22
2.877e-2 0 0 23 23
2.909e-2 0 0 24 24
2.917e-2 0 0 25 25
2.922e-2 0 0 26 26
2.968e-2 0 0 27 27
2.994e-2 0 0 28 28
3.04e-2 0 0 29 29
3.061e-2 0 0 30 30
3.116e-2 0 0 31 31
3.126e-2 0 0 32 32
3.145e-2 0 0 33 33
3.183e-2 0 0 34 34
3.244e-2 0 0 35 35
3.348e-2 0 0 36 36
3.353e-2 0 0 37 37
3.356e-2 0 0 38 38
3.362e-2 0 0 39 39
3.368e-2 0 0 40 40
3.392e-2 0 0 41 41
3.404e-2 0 0 42 42
3.414e-2 0 0 43 43
3.429e-2 0 0 44 44
3.441e-2 0 0 45 45
3.459e-2 0 0 46 46
3.473e-2 0 0 47 47
3.495e-2 0 0 48 48
3.499e-2 0 0 49 49
3.522e-2 0 0 50 50
3.524e-2 0 0 51 51
3.527e-2 0 0 52 52
3.53e-2 0 0 53 53
3.541e-2 0 0 54 54
3.609e-2 0 0 55 55
3.637e-2 0 0 56 56
3.653e-2 0 0 57 57
3.665e-2 0 0 58 58
3.689e-2 0 0 59 59
3.727e-2 0 0 60 60
3.742e-2 0 0 61 61
3.756e-2 0 0 62 62
3.76e-2 0 0 63 63
3.791e-2 0 0 64 64
3.831e-2 0 0 65 65
3.849e-2 0 0 66 66
3.854e-2 0 0 67 67
3.899e-2 0 0 68 68
3.971e-2 0 0 69 69
4.011e-2 0 0 70 70
4.016e-2 0 0 71 71
4.117e-2 0 0 72 72
4.182e-2 0 0 73 73
4.228e-2 0 0 74 74
4.25e-2 0 0 75 75
4.26e-2 0 0 76 76
4.266e-2 0 0 77 77
4.271e-2 0 0 78 78
4.288e-2 0 0 79 79
4.297e-2 0 0 80 80
4.357e-2 0 0 81 81
4.369e-2 0 0 82 82
4.464e-2 0 0 83 83
4.467e-2 0 0 84 84
