t me us them sum
2.522e-2 0 0 1 1
3.326e-2 0 0 2 2
3.523e-2 0 0 3 3
3.623e-2 0 0 4 4
3.65e-2 0 0 5 5
3.713e-2 0 0 6 6
4.48e-2 0 0 7 7
4.562e-2 0 0 8 8
4.603e-2 0 0 9 9
4.938e-2 0 0 10 10
5.019e-2 0 0 11 11
5.054e-2 0 0 12 12
5.235e-2 0 0 13 13
5.261e-2 0 0 14 14
5.276e-2 0 0 15 15
5.336e-2 0 0 16 16
5.374e-2 0 0 17 17
5.636e-2 0 1 16 17
5.737e-2 0 2 15 17
5.871e-2 0 2 16 18
5.978e-2 0 3 15 18
5.98e-2 1 3 15 19
6.212e-2 1 3 16 20
7.029e-2 1 3 17 21
7.038e-2 1 3 18 22
7.06e-2 1 3 19 23
7.27e-2 1 3 20 24
7.531e-2 1 3 21 25
7.697e-2 1 3 22 26
7.907e-2 1 3 23 27
7.909e-2 1 3 24 28
7.968e-2 1 3 25 29
8.118e-2 1 3 26 30
8.142e-2 1 3 27 31
8.157e-2 1 3 28 32
8.247e-2 1 3 29 33
8.552e-2 1 3 30 34
8.76e-2 1 3 31 35
8.803e-2 1 3 32 36
8.971e-2 1 3 33 37
9.054e-2 1 3 34 38
9.18e-2 1 3 35 39
9.399e-2 1 3 36 40
9.412e-2 1 3 37 41
9.442e-2 0 4 37 41
9.567e-2 0 4 38 42
9.781e-2 0 4 39 43
9.785e-2 0 4 40 44
9.852e-2 0 4 41 45
9.883e-2 0 4 42 46
0.10144 0 4 43 47
0.10206 0 4 44 48
0.10211 0 4 45 49
0.10315 0 4 46 50
0.10494 0 4 47 51
0.10582 0 4 48 52
0.10611 0 4 49 53
0.11182 0 4 50 54
0.11472 0 4 51 55
0.1152 0 4 52 56
0.11616 0 4 53 57
0.11634 0 4 54 58
0.12013 0 4 55 59
0.12191 0 4 56 60
0.1245 0 4 57 61
0.12667 0 4 58 62
0.1276 0 4 59 63
0.12911 0 4 60 64
0.12939 0 4 61 65
0.13164 0 4 62 66
0.13449 0 4 63 67
0.14299 0 4 64 68
0.14726 0 4 65 69
0.17178 0 5 64 69
0.17233 0 5 65 70
0.17255 0 5 66 71
0.17297 0 5 67 72
0.17446 0 5 68 73
0.17814 0 6 67 73
0.182 0 6 68 74
0.18235 0 6 69 75
0.18582 0 6 70 76
0.18773 0 7 69 76
0.18938 0 8 68 76
0.18968 0 9 67 76
0.19022 0 10 66 76
0.19221 0 10 67 77
0.19345 0 11 66 77
0.19347 1 11 66 78
0.19602 1 12 65 78
0.19619 1 12 66 79
0.20208 1 13 65 79
0.20253 1 14 64 79
0.20752 1 15 63 79
0.20818 2 15 63 80
0.21299 2 16 62 80
0.21351 3 16 62 81
0.21404 3 17 61 81
0.21582 3 17 62 82
0.21726 3 18 61 82
0.21961 3 19 60 82
0.2204 4 19 60 83
0.22111 4 20 59 83
0.222 4 20 60 84
0.22507 4 20 61 85
0.22522 4 21 60 85
0.22623 4 21 61 86
0.22666 4 22 60 86
0.22943 4 23 59 86
0.23216 5 23 59 87
0.23601 5 23 60 88
0.2371 5 24 59 88
0.23764 5 24 60 89
0.2438 5 25 59 89
0.24408 5 26 58 89
0.24504 6 26 58 90
0.24592 6 27 57 90
