t me us them sum
4.903e-2 1 0 0 1
4.971e-2 2 0 0 2
5.073e-2 3 0 0 3
5.276e-2 4 0 0 4
5.636e-2 3 1 0 4
5.737e-2 2 2 0 4
5.978e-2 1 3 0 4
5.98e-2 0 4 0 4
0.11682 1 4 0 5
0.15067 2 4 0 6
0.15639 3 4 0 7
0.15798 4 4 0 8
0.15904 5 4 0 9
0.1594 6 4 0 10
0.16283 7 4 0 11
0.17178 7 4 1 12
0.17178 8 4 1 13
0.17237 9 4 1 14
0.17504 10 4 1 15
0.17814 9 5 1 15
0.17915 10 5 1 16
0.17949 11 5 1 17
0.18025 12 5 1 18
0.18322 13 5 1 19
0.18412 14 5 1 20
0.18464 15 5 1 21
0.18578 16 5 1 22
0.18773 16 5 2 23
0.18938 16 5 3 24
0.18968 16 5 4 25
0.19022 15 6 4 25
0.19069 15 7 3 25
0.19071 16 7 3 26
0.19345 15 8 3 26
0.19347 14 9 3 26
0.19381 15 9 3 27
0.19407 15 10 2 27
0.19485 16 10 2 28
0.19602 15 11 2 28
0.19745 16 11 2 29
0.19844 17 11 2 30
0.19966 18 11 2 31
0.20165 19 11 2 32
0.20208 19 11 3 33
0.20253 18 12 3 33
0.20401 19 12 3 34
0.20752 18 13 3 34
0.20818 17 14 3 34
0.20918 18 14 3 35
0.20998 19 14 3 36
0.21299 18 15 3 36
0.21351 17 16 3 36
0.21404 16 17 3 36
0.21455 17 17 3 37
0.21726 16 18 3 37
0.21961 16 18 4 38
0.21976 16 19 3 38
0.2204 15 20 3 38
0.22111 14 21 3 38
0.22385 15 21 3 39
0.22522 14 22 3 39
0.22666 14 22 4 40
0.22708 15 22 4 41
0.22927 15 23 3 41
0.22943 15 23 4 42
0.2297 16 23 4 43
0.23216 15 24 4 43
0.23278 16 24 4 44
0.23521 17 24 4 45
0.2361 18 24 4 46
0.2371 17 25 4 46
0.23815 18 25 4 47
0.24101 19 25 4 48
0.24184 20 25 4 49
0.2438 19 26 4 49
0.24408 19 26 5 50
0.24504 19 26 6 51
0.24525 19 27 5 51
0.24592 18 28 5 51
0.24614 17 29 5 51
0.24758 17 30 4 51
0.24762 17 31 3 51
0.25138 16 32 3 51
0.25186 16 32 4 52
0.25348 15 33 4 52
0.26064 14 34 4 52
0.26075 13 35 4 52
0.26076 14 35 4 53
0.26078 13 36 4 53
0.2612 12 37 4 53
0.26255 13 37 4 54
0.26527 12 38 4 54
0.26647 13 38 4 55
0.26826 13 38 5 56
