t me us them sum
2.259e-2 0 0 1 1
2.35e-2 0 0 2 2
2.467e-2 0 0 3 3
2.475e-2 0 0 4 4
2.488e-2 0 0 5 5
2.565e-2 0 0 6 6
2.789e-2 0 0 7 7
4.903e-2 1 0 7 8
4.971e-2 2 0 7 9
5.052e-2 2 0 8 10
5.073e-2 3 0 8 11
5.121e-2 3 0 9 12
5.147e-2 3 0 10 13
5.2e-2 3 0 11 14
5.263e-2 3 0 12 15
5.276e-2 4 0 12 16
5.278e-2 4 0 13 17
5.304e-2 4 0 14 18
5.387e-2 4 0 15 19
5.413e-2 4 0 16 20
5.437e-2 4 0 17 21
5.438e-2 4 0 18 22
5.44e-2 4 0 19 23
5.502e-2 4 0 20 24
5.53e-2 4 0 21 25
5.534e-2 4 0 22 26
5.545e-2 4 0 23 27
5.594e-2 4 0 24 28
5.623e-2 4 0 25 29
5.629e-2 4 0 26 30
5.65e-2 4 0 27 31
5.667e-2 4 0 28 32
5.691e-2 4 0 29 33
5.695e-2 4 0 30 34
5.753e-2 4 0 31 35
5.754e-2 4 0 32 36
5.762e-2 4 0 33 37
5.787e-2 3 1 33 37
5.8e-2 3 1 34 38
5.833e-2 3 1 35 39
5.833e-2 3 1 36 40
5.836e-2 3 1 37 41
5.844e-2 3 1 38 42
5.85e-2 3 1 39 43
5.858e-2 3 1 40 44
5.875e-2 3 1 41 45
5.886e-2 3 1 42 46
5.935e-2 3 1 43 47
6.014e-2 3 1 44 48
6.035e-2 3 1 45 49
6.071e-2 3 1 46 50
6.12e-2 3 1 47 51
6.129e-2 3 1 48 52
6.13e-2 3 1 49 53
6.13e-2 3 1 50 54
6.135e-2 3 1 51 55
6.146e-2 3 1 52 56
6.149e-2 3 1 53 57
6.159e-2 3 1 54 58
6.187e-2 3 1 55 59
6.209e-2 3 1 56 60
6.21e-2 3 1 57 61
6.214e-2 3 1 58 62
6.256e-2 3 1 59 63
6.259e-2 3 1 60 64
6.292e-2 3 1 61 65
6.297e-2 3 1 62 66
6.359e-2 3 1 63 67
6.37e-2 3 1 64 68
6.391e-2 3 1 65 69
6.406e-2 3 1 66 70
6.417e-2 3 1 67 71
6.428e-2 3 1 68 72
6.471e-2 3 1 69 73
6.51e-2 3 1 70 74
6.524e-2 3 1 71 75
6.528e-2 3 1 72 76
6.542e-2 3 1 73 77
6.545e-2 3 1 74 78
6.615e-2 3 1 75 79
6.663e-2 3 1 76 80
6.681e-2 3 1 77 81
6.682e-2 2 2 77 81
