t me us them sum
2.522e-2 0 0 1 1
3.326e-2 0 0 2 2
3.523e-2 0 0 3 3
3.623e-2 0 0 4 4
3.65e-2 0 0 5 5
3.713e-2 0 0 6 6
4.48e-2 0 0 7 7
4.562e-2 0 0 8 8
4.603e-2 0 0 9 9
4.903e-2 0 1 8 9
4.938e-2 0 1 9 10
4.971e-2 0 2 8 10
5.019e-2 0 2 9 11
5.054e-2 0 2 10 12
5.073e-2 0 3 9 12
5.235e-2 0 3 10 13
5.261e-2 0 3 11 14
5.276e-2 0 3 12 15
5.276e-2 1 3 12 16
5.336e-2 1 3 13 17
5.374e-2 1 3 14 18
5.871e-2 1 3 15 19
6.212e-2 1 3 16 20
7.029e-2 1 3 17 21
7.038e-2 1 3 18 22
7.06e-2 1 3 19 23
7.27e-2 1 3 20 24
7.531e-2 1 3 21 25
7.697e-2 1 3 22 26
7.907e-2 1 3 23 27
7.909e-2 1 3 24 28
7.968e-2 1 3 25 29
8.118e-2 1 3 26 30
8.142e-2 1 3 27 31
8.157e-2 1 3 28 32
8.247e-2 1 3 29 33
8.552e-2 1 3 30 34
8.76e-2 1 3 31 35
8.803e-2 1 3 32 36
8.971e-2 1 3 33 37
9.054e-2 1 3 34 38
9.18e-2 1 3 35 39
9.399e-2 1 3 36 40
9.412e-2 1 3 37 41
9.442e-2 0 4 37 41
9.567e-2 0 4 38 42
9.781e-2 0 4 39 43
9.785e-2 0 4 40 44
9.852e-2 0 4 41 45
9.883e-2 0 4 42 46
0.10144 0 4 43 47
0.10206 0 4 44 48
0.10211 0 4 45 49
0.10315 0 4 46 50
0.10494 0 4 47 51
0.10582 0 4 48 52
0.10611 0 4 49 53
0.11182 0 4 50 54
0.11472 0 4 51 55
0.1152 0 4 52 56
0.11616 0 4 53 57
0.11634 0 4 54 58
0.11682 0 5 53 58
0.12013 0 5 54 59
0.12191 0 5 55 60
0.1245 0 5 56 61
0.12667 0 5 57 62
0.1276 0 5 58 63
0.12911 0 5 59 64
0.12939 0 5 60 65
0.13164 0 5 61 66
0.13449 0 5 62 67
0.14299 0 5 63 68
0.14726 0 5 64 69
0.15067 0 6 63 69
0.15639 0 7 62 69
0.15798 1 7 62 70
0.15904 1 8 61 70
0.1594 1 9 60 70
0.16283 2 9 60 71
0.17178 2 10 59 71
0.17233 2 10 60 72
0.17237 3 10 60 73
0.17255 3 10 61 74
0.17297 3 10 62 75
0.17446 3 10 63 76
0.17504 3 11 62 76
0.17915 3 12 61 76
0.17949 3 13 60 76
0.18025 4 13 60 77
0.182 4 13 61 78
0.18235 4 13 62 79
0.18322 5 13 62 80
0.18412 5 14 61 80
0.18464 5 15 60 80
0.18578 6 15 60 81
0.18582 6 15 61 82
0.19069 6 16 60 82
0.19071 6 17 59 82
0.19221 6 17 60 83
0.19381 6 18 59 83
0.19407 6 19 58 83
0.19485 6 20 57 83
0.19619 6 20 58 84
0.19745 6 21 57 84
0.19844 6 22 56 84
0.19966 6 23 55 84
0.20165 7 23 55 85
0.20401 7 24 54 85
0.20918 7 25 53 85
0.20998 8 25 53 86
0.21455 8 26 52 86
0.21582 8 26 53 87
0.21976 8 27 52 87
0.222 8 27 53 88
0.22385 8 28 52 88
0.22507 8 28 53 89
